lat,lon,alt,dop,speed
66.001145,19.356026,347.325,2.82,0.12
66.001104,19.356043,345.068,3.22,0.022
66.001213,19.355987,344.114,7.97,0.337
66.001138,19.356007,349.43,5.46,0.038
66.001242,19.355998,350.716,4.93,0.547
66.001154,19.3562,356.516,4.98,0.027
66.000681,19.357691,433.904,5.26,0.266
66.00125,19.355923,353.507,3.18,0.023
66.001244,19.355934,319.378,4.86,0.031
66.001249,19.356224,346.373,2.92,0.192
66.001295,19.356355,343.113,4.0,0.073
66.001276,19.356406,380.512,15.24,0.04
66.001252,19.35649,318.937,8.06,0.106
66.001215,19.356534,364.327,6.15,0.045
66.001239,19.356398,338.266,5.34,0.31
66.00096,19.35688,354.6,4.98,0.267
66.001127,19.35653,354.073,16.51,0.176
66.001345,19.356212,372.627,10.07,0.245
66.000945,19.356924,354.521,4.42,0.147
66.000892,19.357011,347.473,7.58,0.414
66.000981,19.356967,346.819,3.24,0.024
66.001024,19.356638,338.932,2.93,0.069
66.001087,19.356634,358.887,5.1,0.007
66.001068,19.356694,354.367,2.41,0.026
66.000993,19.356706,345.668,3.76,0.033
66.001033,19.356783,356.446,3.57,0.527
66.001013,19.356651,345.217,2.49,0.02
66.001033,19.356596,345.805,2.59,0.007
66.001048,19.356642,353.241,2.0,0.031
66.001057,19.356596,353.837,2.0,0.101
66.001047,19.356615,355.267,4.59,0.142
66.001074,19.356545,366.275,6.96,0.021
66.001063,19.356571,360.467,4.31,0.801
66.001038,19.356519,358.245,3.35,0.03
66.00105,19.356403,352.48,2.85,0.123
66.001082,19.356751,336.3,6.05,0.186
66.000776,19.35686,363.124,2.32,0.012
66.00063,19.355256,350.185,13.09,0.172
66.000418,19.355387,348.958,1.87,0.028
66.000386,19.355333,351.304,5.35,0.678
66.000493,19.355155,341.896,6.1,0.095
66.000443,19.355197,330.405,14.75,0.087
66.00046,19.355202,322.582,9.25,0.578
66.000757,19.355335,369.665,6.83,0.099
66.000618,19.355175,348.641,5.72,0.129
66.000572,19.355086,338.954,2.47,0.05
66.000657,19.355095,352.261,7.71,0.065
66.000632,19.355153,341.606,6.64,0.257
66.000604,19.35495,338.948,4.85,0.329
66.000622,19.355101,348.201,6.11,0.095
66.000647,19.354831,348.514,6.86,0.051
66.000629,19.355103,350.992,1.97,0.022
66.000174,19.354909,383.902,3.63,0.6
66.000682,19.355105,324.775,3.21,1.848
66.001123,19.354125,352.19,3.15,0.39
66.000771,19.354249,356.23,3.29,0.174
66.000746,19.354234,350.112,2.73,0.141
66.000747,19.354198,360.286,4.34,0.037
66.001021,19.353584,345.172,6.18,0.401
66.001099,19.353533,321.761,8.36,0.262
66.000841,19.353054,366.239,9.42,0.079
66.000892,19.352903,374.161,4.29,0.043
66.000671,19.353748,335.831,5.13,0.177
66.000297,19.353553,337.974,9.75,0.008
